Date,Service Type,Forecasted Journeys,Lower Bound,Upper Bound
2024-09-30,Local Route,10604.954136645132,6467.923062531323,14501.595350901513
2024-10-01,Local Route,12400.855765131997,8399.088462422007,16676.611555234147
2024-10-02,Local Route,12566.008440431737,8475.682558008823,16764.63427988091
2024-10-03,Local Route,12416.321971351066,8300.461402792236,16323.113470212476
2024-10-04,Local Route,11887.572364905323,7718.3277731301405,15463.192303558215
2024-10-05,Local Route,2740.268529238847,-1365.2543364753362,7046.817965092302
2024-10-06,Local Route,1815.8794686417586,-2310.0711817326364,5840.67882673893
2024-09-30,Light Rail,7590.700041658202,5327.707326845335,9858.182107967388
2024-10-01,Light Rail,8644.581147097095,6215.474718808573,10943.683305982744
2024-10-02,Light Rail,8687.16945057593,6220.872403999284,10807.721737949829
2024-10-03,Light Rail,8606.459057975815,6234.615771508609,10817.434887643072
2024-10-04,Light Rail,8636.435429203157,6315.370686493592,11141.656689866508
2024-10-05,Light Rail,5172.417212862338,2790.8403981653714,7678.834738456396
2024-10-06,Light Rail,3814.737774705757,1381.9712175418326,6098.075239036784
2024-09-30,Peak Service,224.43388789594306,125.74263172292906,326.78649451142934
2024-10-01,Peak Service,269.879341928417,163.50904713780562,370.4666521014656
2024-10-02,Peak Service,269.6542422265131,167.28845396295677,368.02981430810536
2024-10-03,Peak Service,243.10902431418845,137.33273364101728,344.73338078411746
2024-10-04,Peak Service,191.45617357090526,90.61717680572494,306.0290190629011
2024-10-05,Peak Service,-10.428991589589543,-119.06399348742433,83.96101755472534
2024-10-06,Peak Service,-9.036274490191829,-118.03811150178811,104.18813763126222
2024-09-30,Rapid Route,13476.153618692413,8727.498695282684,17938.163696720705
2024-10-01,Rapid Route,15584.16352799582,10908.175498929579,20451.767981033205
2024-10-02,Rapid Route,15672.091935472783,10920.513257535145,20288.166494205285
2024-10-03,Rapid Route,15483.654143096319,11126.442137619515,20306.268494527867
2024-10-04,Rapid Route,14777.913762734415,10340.486889403437,19714.15142467933
2024-10-05,Rapid Route,6592.745228491771,1585.717389872645,10924.837799814093
2024-10-06,Rapid Route,5144.639308919008,352.11185577412317,9442.86249961216
2024-09-30,School,1417.8193363791413,-498.08140802740905,3242.9798486442314
2024-10-01,School,1842.1639620680428,-141.3331064069256,3658.6919935057404
2024-10-02,School,1902.8830460311679,2.95003787547787,3828.134940545637
2024-10-03,School,1805.4323790136086,-294.5256894976989,3768.6673529330437
2024-10-04,School,1623.4297035119541,-274.30873330294224,3528.847653377131
2024-10-05,School,-1416.0606556098892,-3284.8319461636665,506.24056299523295
2024-10-06,School,-1307.4787142948098,-3160.8117163001302,743.4245428291655
